条件ID	MVP区分	マイルストーン	満たすべきこと	実装箇所（画面・機能）	合致していると言える状態	確認方法	根拠（検証ID）	実装状況	検証結果	判定	確認日	メモ
#		モック（インポート）: https://suguru789987.github.io/rakmy-timerecord-import-spec/ ／ モック（手入力）: https://suguru789987.github.io/rakmy-owner-registration-mock/										
AC-077	MVP必須	M3	①〜⑤を通しで取り込み、打刻を始められる状態になる	全画面（通し）	5種別すべてが登録され、招待メールが届き、従業員が打刻画面に到達できる	動作確認（検証プラン）	OP-620					
AC-078	MVP必須	M1	実運用の規模を分割せずに取り込める	アップロード	分割せずに受理される（④は200行、他は500行の範囲に収まる）	動作確認（検証プラン）	OP-620 / CA-003					
AC-035	MVP必須	M2	退職者と同じコードはエラー	プレビュー	退職者と同じコードの行＝エラー。取り込まれた件数＝0件	動作確認（検証プラン）	OP-310					
AC-044	MVP必須	M3	失敗した行がDBに残らない	完了	部分成功後、失敗した行のレコード数＝0件。失敗行CSVの行数＝失敗件数と一致	動作確認＋DB確認	OP-503					
AC-053	MVP必須	M4	昇格で勤務店舗が消えない	従業員一覧	元の2店舗の所属が維持されている／どちらも2店舗のまま。消えず、重複もしない	動作確認（検証プラン）	OP-607 / CA-061					
AC-060	MVP必須	M6	インポートしたデータを削除できる	従業員一覧	従業員・業態・店舗・雇用区分の4種とも削除できる（削除後の一覧に残る件数＝0件）	動作確認（検証プラン）	OP-615					
AC-061	MVP必須	M5	スキップで既存が変わらない	プレビュー/完了	スキップで再取り込み後、既存レコードの変更件数＝0件	動作確認（検証プラン）	OP-701					
AC-063	MVP必須	M5	空欄で既存の値が消えない	従業員一覧	空欄にした列の変更件数＝0件（電話番号が元の値のまま）	動作確認（検証プラン）	OP-703					
AC-055	リリース必須	M4	担当店舗のマージで重複しない	従業員一覧	既に渋谷店を持つ人を渋谷店で昇格 → 担当店舗＝2件のまま（重複＝0件）	動作確認（検証プラン）	CA-061					
AC-062	リリース必須	M5	上書き更新で全列が更新される	従業員一覧	テンプレートに書いた列がすべて反映される（従業員コードを除く）	動作確認（検証プラン）	OP-702					
AC-023	MVP必須	M2	エラー行を画面で編集させない	プレビュー	エラー行に編集ボタン＝0個。修正はCSVのみ	動作確認（検証プラン）	OP-303					
AC-024	MVP必須	M2	エラー行をCSVで取り出せる	プレビュー / 完了	元テンプレートと同じ列＋末尾に「エラー理由」列のファイルが落ちる／エラーが解消され、全件が取り込める状態になる／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	動作確認（検証プラン）	OP-306 / OP-307 / CA-053					
AC-043	MVP必須	M3	失敗行をCSVで回収できる	完了	失敗した行だけが落ちる。文字化けせず、失敗理由の列が付いている／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	動作確認（検証プラン）	OP-503 / CA-053					
AC-074	MVP必須	M5	中断したデータが正しく復元される	アップロード画面	中断前にアップロードした①〜③の件数と内容が一致する。④以降は未アップロードのまま	動作確認（検証プラン）	OP-709					
AC-075	MVP必須	M5	中断データが新規の取り込みに混ざらない	アップロード画面	再開せず開始したとき、自動で入る中断分＝0件	動作確認（検証プラン）	OP-710					
AC-014	リリース必須	M1	受付拒否から復帰できる	アップロード	拒否後に正しいファイルを上げ直すと受理され、確認画面に進める（再アップロード成功＝1回で可）	動作確認（検証プラン）	OP-219					
AC-046	リリース必須	M3	失敗行CSVがそのまま再アップできる形式	完了	失敗行CSVの列数＝元テンプレート＋1（理由列）。理由列を削除して再アップ → 受理される	動作確認（検証プラン）	OP-503					
AC-066	リリース必須	M5	作業を中断して後日再開できる	アップロード	中断地点が保存され、再開すると①〜③はアップロード済みとして復元される。1件も投入していない状態では一時保存を押せない	動作確認（検証プラン）	OP-707					
AC-025	MVP必須	M2	管理者の判定が自動で行われる	プレビュー	4パターン投入 → 新規登録1・権限付与1・差し替え1・スキップ1に振り分けられる（誤判定＝0件）	動作確認（検証プラン）	OP-308					
AC-065	MVP必須	M5	管理者に重複時の処理が適用されない	プレビュー	「重複時の処理」の設定にかかわらず5分岐で自動判定される	動作確認（検証プラン）	OP-704					
AC-054	リリース必須	M4	新規管理者の担当店舗が正しく入る	管理者一覧	既存の所属が無い人を「渋谷店,新宿店」で登録 → 担当店舗＝2件	動作確認（検証プラン）	CA-062					
AC-011	MVP必須	M1	上限を超えたファイルを受け付けない	アップロード	500行は受理。501行は拒否され、上限と実際の行数がメッセージに出る／200行は受理。201行は拒否される／5.0MBは受理。5.1MBは拒否される／どちらも拒否され、種別ごとの上限（500行／200行）と実際の行数を含むメッセージが出る。確認画面に進めない／「1ファイルあたり5MBまでです」と表示され、プレビューに進まない	動作確認（検証プラン）	CA-001 / CA-003 / CA-005 / OP-211 / OP-213					
AC-012	MVP必須	M1	壊れたファイルを受け付けない	アップロード	「文字コードがUTF-8ではない可能性があります」と表示される／「テンプレートの列が一致しません」と表示され、必要な列と見つかった列が併記される／「取り込めるデータがありません」と表示される	動作確認（検証プラン）	OP-214 / OP-215 / OP-216					
AC-013	リリース必須	M1	拒否されたファイルが一覧に残らない	アップロード	どちらも拒否され、種別ごとの上限（500行／200行）と実際の行数を含むメッセージが出る。確認画面に進めない	動作確認（検証プラン）	OP-211					
AC-033	リリース必須	M3	0件では実行できない	プレビュー	実行ボタンが押せない状態になり「取り込めるデータが1件もありません」と表示される／新規6・更新2・エラー2と表示され、実行ボタンは「8件をインポート」と出る	動作確認（検証プラン）	OP-404 / CA-051					
AC-021	MVP必須	M2	取り込み前に内容と判定を確認できる	プレビュー	新規6・更新2・エラー2と表示され、実行ボタンは「8件をインポート」と出る	動作確認（検証プラン）	CA-051					
AC-022	MVP必須	M2	エラー行が理由とともに分かる	プレビュー	エラー行すべてに理由が表示される（理由が空のエラー行＝0件）	動作確認（検証プラン）	OP-303 / OP-304					
AC-032	MVP必須	M3	二重に実行されない	実行中	ボタンを5回連打 → 登録された件数＝1回分（重複登録＝0件）	動作確認（検証プラン）	OP-401					
AC-042	MVP必須	M3	取り込まれなかった行が分かる	完了	完了画面に「取り込まなかった行（N件）」が表示され、除外理由が分かる／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	動作確認（検証プラン）	OP-502 / CA-053					
AC-031	リリース必須	M3	実行中であることが分かる	実行中	実行中に進捗が表示される（進捗が出ない実行＝0件）	動作確認（検証プラン）	OP-401					
AC-041	リリース必須	M3	結果が件数で分かる	完了	登録件数が表示され、次にやることが案内される。トップにインポート履歴が残る／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	動作確認（検証プラン）	OP-501 / CA-053					
