段階	検証ID	フロー	検証内容	初期設定（前提データ）	操作・前提条件	期待挙動（判定基準）	スクショファイル名	証跡（撮る画面と状態）	画面（どこを開いて操作するか）	確認ポイント	対応する条件ID	ヘルプ該当箇所	実際の値	判定	根拠・備考
P0_前提	OP-001	2	検証の前提を揃える	前提データ: D0-10	Stagingにオーナーでログインし、業態・店舗・雇用区分・従業員・管理者が0件であることを確認。取り込み方式に「テンプレート」を選ぶ。検証開始日を記入する	ダッシュボードが表示される。5種類すべてが0件。方式がテンプレートになっている	OP-001_検証の前提を揃える.png	各設定画面で5種類とも0件であることが分かる画面（件数が読める倍率）	ログイン画面 → ダッシュボード	本番環境に接続していないこと／P1〜P6は新規登録モード（0件から）、P7以降は運用更新モード（既登録あり）で実施する	AC-005 / AC-007	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P1_テンプレートDL	OP-101	2	5種類のテンプレートをダウンロードして開く	前提データ: なし（テンプレートを配布するだけ。入力しない）	①〜⑤の「テンプレートDL」を順に押し、5ファイルをExcelで開く	5ファイルとも文字化けしない。③雇用区分・④従業員のコード列は空欄。②店舗の営業時間は1列。⑤管理者に権限列が無い	OP-101_5種類のテンプレートをダ.png	ダウンロードした5ファイルをExcelで開いた1枚目（列名とサンプル行が読めること）	サイドバー「インポート」→ 取り込む種別の一覧（インポートTOP）	文字化けは入口の失敗として最も多い／コード列が埋まっていると自動採番が使われない	AC-001 / AC-002 / AC-003 / AC-004	6番 テンプレートをダウンロードする（サンプル行／UTF-8で保存）			
P2_アップロード	OP-201	2	①業態の取り込み	前提データ: D1（①業態3件）／D1-1	①業態テンプレートに3件入力してアップロードする	プレビューに3件が「新規」と表示される	OP-201_①業態の取り込み.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	件数が入力どおりであること	AC-016	—（顧客向けの記載なし。内部の挙動・前提・対象外のため）			
P2_アップロード	OP-202	2	取り込み順序の遵守	前提データ: D2（②店舗）を①未登録の状態で投入	①業態を取り込む前に②店舗をアップロードする	②の所属業態が引き当てられずエラーになる	OP-202_取り込み順序の遵守.png	確認画面の該当エラー行（行の内容とエラー理由が同時に読める倍率）と上部の件数サマリ	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	①→②→③→④→⑤の順で取り込む必要がある	AC-016	1番 はじめて登録するときの順番 ／ 11番 よくあるエラー			仕様§1.3
P2_受付拒否	OP-211	2 / 4	行数超過で受け付けない	前提データ: D0-4／②店舗 501行・④従業員 201行	②店舗に501行、④従業員に201行を入れてそれぞれアップロードする	どちらも拒否され、種別ごとの上限（500行／200行）と実際の行数を含むメッセージが出る。プレビューに進めず、アップロード済みファイルの一覧にも追加されない	OP-211_行数超過で受け付けない.png	アップロード画面に出たメッセージの全文（折り返しも含めて読めること）	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1） ／ サイドバー「インポート」→ 対象種別の「取り込み →」→ アップロード（モック s-tpl-single-*）	上限は種別で違う。④従業員だけ200行	AC-011 / AC-013	6番 1回に取り込める量（500行・200行） ／ 11番 ファイルが受け付けられない場合			
P2_受付拒否	OP-213	2 / 4	ファイルサイズ超過	前提データ: D0-5／5.1MBのファイル	5MBを超えるファイルをアップロードする	「1ファイルあたり5MBまでです」と表示され、プレビューに進まない	OP-213_ファイルサイズ超過.png	アップロード画面に出たメッセージの全文（折り返しも含めて読めること）	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1） ／ サイドバー「インポート」→ 対象種別の「取り込み →」→ アップロード（モック s-tpl-single-*）	5.0MBは通り5.1MBで落ちる。境界の前後を両方見る	AC-011	6番 1回に取り込める量（5MB） ／ 11番 ファイルが受け付けられない場合			
P2_受付拒否	OP-214	2 / 4	文字コード不正	前提データ: D0-6／テンプレートをExcelで「CSV（コンマ区切り）」保存＝Shift_JIS	テンプレートをShift_JISで保存してアップロードする	「文字コードがUTF-8ではない可能性があります」と表示される	OP-214_文字コード不正.png	アップロード完了後のファイル名と件数の表示	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1） ／ サイドバー「インポート」→ 対象種別の「取り込み →」→ アップロード（モック s-tpl-single-*）	Excelで「CSV UTF-8」を選ばずに保存した場合を想定	AC-012	11番 ファイルが受け付けられない場合（文字コード） ／ 6番 UTF-8で保存			
P2_受付拒否	OP-215	2 / 4	列名不一致	前提データ: D4（④従業員）を②店舗の枠にアップロードする	④従業員のテンプレートを②店舗の枠にアップロードする	「テンプレートの列が一致しません」と表示され、必要な列と見つかった列が併記される	OP-215_列名不一致.png	アップロード完了後のファイル名と件数の表示	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1） ／ サイドバー「インポート」→ 対象種別の「取り込み →」→ アップロード（モック s-tpl-single-*）	種別の取り違えに気づける表示になっていること	AC-012	11番 ファイルが受け付けられない場合（テンプレートの列が一致しません）			
P2_受付拒否	OP-216	2 / 4	データ0件	前提データ: D0-7／ヘッダー行のみのファイル	ヘッダー行のみのファイルをアップロードする	「取り込めるデータがありません」と表示される	OP-216_データ0件.png	アップロード完了後のファイル名と件数の表示	初期セットアップ →「CSVで一括インポート」→ ステップ1 アップロード（モック s-tpl1） ／ サイドバー「インポート」→ 対象種別の「取り込み →」→ アップロード（モック s-tpl-single-*）	ヘッダ行だけのファイル。行が0件でも列名は正しい状態で試す	AC-012	11番 ファイルが受け付けられない場合（取り込めるデータが1件もありません）			
P3_プレビュー	OP-301	2	プレビューのタブ構成	前提データ: なし	①〜③設定マスタと④従業員・⑤管理者のプレビューをそれぞれ開く	①〜③は種別ごとのタブ、④⑤は判定ごとのタブで表示される	OP-301_プレビューのタブ構成.png	確認画面の上部の件数サマリ（新規登録・更新・スキップ・エラーの4つが写るように）	確認画面（導入時 モック s-tpl2 ／ 運用時 s-tpl2-single）	種別と判定が混在しないこと	AC-026	8番 内容を確認する			
