ID	CSV種別	一時保存ポイント	トリガー大項目	トリガー中項目	トリガー小項目	DOMイベント	セレクタ	判定フラグ／保存先	発火条件	アラート文言（owner-mock）	再開ボタン文言	遷移先	実装状況	アクション
N-S-01	新規登録	設定画面登録 中断	取込進捗ステップ	① 業態登録		input change / button click	#b-step-modal-1 各 input,select; #b-step-modal-1 .btn-primary	sessionStorage.b0Draft_1 / b0Done / b0Counts[0]	入力1行以上 → 下書き保存; 登録ボタン押下 → done=1	初期セットアップ進行中（1/4・あと 3 項目）不足: 店舗、雇用区分、従業員	▶ STEP 1 業態(下書きN件) から再開	go('brand-settings') + setupActiveStep=1 + restoreDraft	✅ 実装済	-
N-S-02	新規登録	設定画面登録 中断	取込進捗ステップ	② 店舗登録		input change / button click	#b-step-modal-2 各 input,select; #b-step-modal-2 .btn-primary	sessionStorage.b0Draft_2 / b0Done / b0Counts[1]	入力1行以上 → 下書き保存; 登録ボタン押下 → done=2	初期セットアップ進行中（2/4・あと 2 項目）不足: 雇用区分、従業員	▶ STEP 2 店舗(下書きN件) から再開	go('store-settings') + setupActiveStep=2 + restoreDraft	✅ 実装済	-
N-S-03	新規登録	設定画面登録 中断	取込進捗ステップ	③ 雇用区分登録		input change / button click	#b-step-modal-3 各 input,select; #b-step-modal-3 .btn-primary	sessionStorage.b0Draft_3 / b0Done / b0Counts[2]	入力1行以上 → 下書き保存; 登録ボタン押下 → done=3	初期セットアップ進行中（3/4・あと 1 項目）不足: 従業員	▶ STEP 3 雇用区分(下書きN件) から再開	go('emptype-settings') + setupActiveStep=3 + restoreDraft	✅ 実装済	-
N-S-04	新規登録	設定画面登録 中断	取込進捗ステップ	④ 従業員登録		input change / button click	#b-step-modal-4 各 input,select; #b-step-modal-4 .btn-primary	sessionStorage.b0Draft_4 / b0Done=4 / b0Counts[3] + 招待メール送信	入力1行以上 → 下書き保存; 登録&招待送信ボタン押下 → done=4	初期セットアップ進行中（4/4・必須完了。任意STEP 5 残）	▶ STEP 4 従業員(下書きN件) から再開	go('emp-settings') + setupActiveStep=4 + restoreDraft	✅ 実装済	-
N-S-05	新規登録	設定画面登録 中断	取込進捗ステップ	⑤ 管理者登録(任意)		input / button click	#b-setup-admin-overlay 各 input,select; b0SubmitAdminEntry()	b0Counts[4] (下書きキー無し)	入力モーダル開き; 登録ボタン押下 → counts[4]++	初期セットアップ完了（管理者は任意、追加可能）	▶ STEP 5 管理者(任意) から再開	go('b0') + b0ShowStep5Panel()	⚠ 下書きなし	下書き永続化は無し（モーダル単発のため不要）。既存実装でOK
N-T-01	新規登録	CSV(テンプレ) 中断	取込項目	① 業態		change on checkbox + drop upload	#s-tpl1 label[data-tpl=brand] input; #tpl-up-dropzone	window._mockTplUploaded + localStorage.import_in_progress	チェックON かつ _mockTplUploaded===true で保存可	📥 CSV(テンプレ) N/4 取り込みデータ選択(N項目完了) から再開	▶ 📥 CSV(テンプレ) N/4 〇〇 から再開	import-spec/?resume=s-tpl1#tpl-setup	✅ 実装済	-
N-T-02	新規登録	CSV(テンプレ) 中断	取込項目	② 店舗		change on checkbox + drop upload	#s-tpl1 label[data-tpl=store] input; #tpl-up-dropzone	同上	同上	同上	同上	同上 + 復元 chechbox store	✅ 実装済	-
N-T-03	新規登録	CSV(テンプレ) 中断	取込項目	③ 雇用区分		change on checkbox + drop upload	#s-tpl1 label[data-tpl=emptype] input; #tpl-up-dropzone	同上	同上	同上	同上	同上 + 復元 emptype	✅ 実装済	-
N-T-04	新規登録	CSV(テンプレ) 中断	取込項目	④ 従業員		change on checkbox + drop upload	#s-tpl1 label[data-tpl=employee] input; #tpl-up-dropzone	同上	同上	同上	同上	同上 + 復元 employee	✅ 実装済	-
