設計ポイント	条件ID	マイルストーン	満たすべきこと（実装の到達点）	MVP区分	確認する画面	確認の操作	満たしていれば見えるもの	崩れると起きること	仕様の該当箇所	検証ID	実装状況	判定
#			モック（インポート）: https://suguru789987.github.io/rakmy-timerecord-import-spec/ ／ モック（手入力）: https://suguru789987.github.io/rakmy-owner-registration-mock/									
⓪ 導入が通しで完了する	AC-077	M3	①〜⑤を通しで取り込み、打刻を始められる状態になる	MVP必須	全画面（通し）	D1〜D5を①→②→③→④→⑤の順に取り込み、招待メールを送り、従業員がログインする	5種別すべてが登録され、招待メールが届き、従業員が打刻画面に到達できる	**個々の条件が合格でも、通しで完了しなければこの機能の価値が出ない。** 導入の障壁を下げるための機能であり、途中で止まれば意味がない	仕様書 1.1 何を解決しているか	OP-620		
⓪ 導入が通しで完了する	AC-078	M1	実運用の規模を分割せずに取り込める	MVP必須	アップロード	従業員30名・3店舗ぶんの①〜⑤を、それぞれ1ファイルで投入する	分割せずに受理される（④は200行、他は500行の範囲に収まる）	**分割が必要だと1件ずつ入力するのと手間が変わらず、機能の価値が消える。** 上限が実運用の規模に足りているかの確認	仕様書 1.1 何を解決しているか／README §7.5	OP-620 / CA-003		
① データを壊さない	AC-035	M2	退職者と同じコードはエラー	MVP必須	プレビュー	退職済み従業員と同じ従業員コードで④を取り込む／退職済み従業員と同じ従業員コード	「退職済みの従業員と同じ従業員コードです」とエラーになり取り込まれない	**退職者が勝手に復活する。** 給与計算と打刻に退職者が混ざる	README §8.4	OP-310		
① データを壊さない	AC-044	M3	失敗した行がDBに残らない	MVP必須	完了	部分成功の完了画面で「失敗した行をCSVでダウンロード」を押し、Excelで開く	失敗した行だけが落ちる。文字化けせず、失敗理由の列が付いている	**中途半端なレコードがDBに残る。** 招待も届かず、再取り込みもできない幽霊データになる	**設計の背骨②**／README §7.7	OP-503		
① データを壊さない	AC-053	M4	昇格で勤務店舗が消えない	MVP必須	従業員一覧	2店舗に所属する従業員を、担当店舗1つだけで⑤に記載して昇格させる／2店舗所属の従業員＋D5-2（担当店舗1つのみ記載）／入力値: 2店舗所属の従業員を、⑤の担当店舗「渋谷店」／「渋谷店,新宿店」で昇格	元の2店舗の所属が維持されている／どちらも2店舗のまま。消えず、重複もしない	**昇格した店長が打刻できなくなる。** 勤務店舗が消えると出退勤が記録できない	**設計の背骨⑤**／フローD／README §7.1	OP-607 / CA-061		
① データを壊さない	AC-060	M6	インポートしたデータを削除できる	MVP必須	従業員一覧	インポートで登録した従業員を一覧から編集し、その後削除する。業態・店舗・雇用区分も各設定画面から削除する	いずれも実行できる。削除は確認ダイアログの後に消える	**誤って取り込んだデータを消せない。** インポートに削除は無く、手入力が唯一の出口	仕様書「削除について」	OP-615		
① データを壊さない	AC-061	M5	スキップで既存が変わらない	MVP必須	プレビュー/完了	同じ④従業員ファイルを「スキップ（既存を保持）」で再取り込みする／D4をそのまま再投入／重複時の処理=スキップ	「スキップ」で再取り込みしても既存データが変更されない	**再取り込みで既存が勝手に書き換わる。** 「スキップ」が効かないと運用で事故る	フローE／README §8.2	OP-701		
① データを壊さない	AC-063	M5	空欄で既存の値が消えない	MVP必須	従業員一覧	電話番号を空欄にした④を「上書き更新」で再取り込みする／D4の電話番号を空欄／上書き更新	既存の電話番号が消えずに残る	**空欄で既存の値が消える。** 顧客が意図せずデータを失い、元に戻せない	**設計の背骨③**／フローE／README §8.2	OP-703		
① データを壊さない	AC-055	M4	担当店舗のマージで重複しない	リリース必須	従業員一覧	入力値: 2店舗所属の従業員を、⑤の担当店舗「渋谷店」／「渋谷店,新宿店」で昇格	既にその店舗を持つ人を昇格させても件数が増えない	担当店舗が重複して増え続ける	README §7.1	CA-061		
① データを壊さない	AC-062	M5	上書き更新で全列が更新される	リリース必須	従業員一覧	氏名と交通費を変更した④を「上書き更新」で再取り込みする／D4の氏名と交通費を変更／重複時の処理=上書き更新	テンプレートに書いた列がすべて反映される（従業員コードを除く）	更新したはずの列が反映されず、顧客が気づかないまま古い値で運用される	フローE	OP-702		
② 取り返しがつく	AC-023	M2	エラー行を画面で編集させない	MVP必須	プレビュー	②店舗で郵便番号を空欄にした行を含めて取り込む／D2-3（池袋店／郵便番号 空欄）	該当行が赤くハイライトされ、上部にエラー理由のバナーが出る	**画面で直すと元CSVに残らず再発する。** プレビューが編集画面になり状態管理が跳ね上がる（J-029）	**設計の背骨①**／仕様書 4.1	OP-303		
② 取り返しがつく	AC-024	M2	エラー行をCSVで取り出せる	MVP必須	プレビュー / 完了	エラー行があるプレビューで「エラー行をCSVでダウンロード」を押す／OP-306で落としたCSVの誤りを直し、理由列を削除して再アップロードする／入力値: 8件実行し1件が失敗、うちエラー2行を除外していた	元テンプレートと同じ列＋末尾に「エラー理由」列のファイルが落ちる／エラーが解消され、全件が取り込める状態になる／成功7・失敗1と表示される。取り込まなかった2行も表示される。失敗行CSVは1行	**エラー行を直す手段が無くなる。** 30人中1人の誤りで全体が止まる	フローC	OP-306 / OP-307 / CA-053		
