区分	項目	内容	補足
1 資料の関係	使う順番	① 仕様書（なぜ作るか）→ ② 受入条件（合格ライン・実装前に合意）→ ③ 検証プラン（実測値）→ ② 受入条件（判定）	受け入れ条件は2回使う。実装前は「約束」、実装後は「判定」
1 資料の関係	定義表	何を守るか・なぜか	実装前の合意／設計レビュー。書き換えない
1 資料の関係	確認表	実装が条件に合致しているかの判定	実装後・検証後。ここに書き込む
1 資料の関係	検証プラン	操作して実測値を出す	検証の作業中に見る
2 定義表の読み方	設計ポイント	何を守る条件か（①〜⑬）	上にあるほど崩れたときの損害が大きい
2 定義表の読み方	条件ID	AC-001 のような一意の番号	確認表・トレーサビリティ表と対応
2 定義表の読み方	マイルストーン	どの実装段階で満たすか（M1〜M6）	
2 定義表の読み方	満たすべきこと	実装の到達点。1文	
2 定義表の読み方	MVP区分	実装の優先度	MVP必須44 / リリース必須30 / 改善9 / 対象外5
2 定義表の読み方	崩れると起きること	なぜこの条件があるか	実装の優先度はここで判断する
2 定義表の読み方	仕様の該当箇所	詳細を読むところ	
3 MVP区分	MVP必須（44件）	これが無いと機能として成立しない	データが壊れる／取り返しがつかない／二重登録される／導入が完了しない
3 MVP区分	リリース必須（30件）	顧客に出すのに必要	無いと問い合わせや誤解が起きる
3 MVP区分	改善（9件）	無くても運用は回る	余力があれば
3 MVP区分	—（5件）	対象外・検証の前提	実装対象ではない
4 確認表 記入者	実装状況	エンジニアが記入	○ 実装済み ／ △ 一部 ／ × 未実装
4 確認表 記入者	検証結果	検証する人が記入	検証プランで出た実測値を書く
4 確認表 記入者	判定	判断する人が記入	合格 ／ 不合格
4 確認表 記入者	確認日	判断する人が記入	
4 確認表 記入者	メモ	誰でも	不合格の理由、回避策など
4 確認表 記入者	その他の列	記入不要	定義表と同じ内容、または検証の参照先
5 記入例	対象	AC-053 昇格で勤務店舗が消えない	
5 記入例	合致していると言える状態（既定）	元の2店舗の所属が維持されている（消えた件数＝0件）	合格ラインは数で書いてある
5 記入例	根拠（検証ID）（既定）	OP-607 / CA-061	
5 記入例	実装状況（記入）	○	
5 記入例	検証結果（記入）	2店舗所属の従業員を渋谷店のみで昇格 → 担当店舗2件のまま	
5 記入例	判定（記入）	合格	実測値と合格ラインを並べて判定する
6 進め方	① 実装前（〜8/14）	定義表のMVP必須44件をエンジニアと合意する	異論はこの時点で出す。実装後に条件を変えると判定の意味がなくなる
6 進め方	② 実装前（〜8/14）	マイルストーン表でM1〜M6の実装順序を決める	
6 進め方	③ 実装後（8/14）	エンジニアが確認表の「実装状況」に ○△× を記入	未実装と不具合を区別するため、検証より先に埋める
6 進め方	④ 検証（8/15〜）	検証プランを段階順（P0→P9）に実施する	確認表ではなく検証プランを見て操作する
6 進め方	⑤ 検証（8/15〜）	検証プランの「実際の結果」「判定」を記入する	
6 進め方	⑥ 検証（8/15〜）	その結果を確認表の「検証結果」に転記する	
6 進め方	⑦ 判定（8/16）	確認表の「判定」に 合格／不合格 を記入する	
6 進め方	⑧ 判定（8/16）	progress.py で達成度とリリース可否を出す	スプレッドシートの場合は集計式を使う（区分10）
7 確認方法	動作確認（検証プラン）73件	検証プランの手順どおりに操作し、結果を見る	
7 確認方法	動作確認＋DB確認 3件	画面だけでは分からない。DBを直接見る	AC-044 失敗行が残らない／AC-052 コードの全社ユニーク／AC-051 全列の反映
7 確認方法	実装レビュー 9件	動かしても分からない。成果物そのものを開いて突き合わせる	AC-002/003/004 配布テンプレの列／AC-058 モーダルとの項目突合／AC-081/082 対象外／AC-005/007/008 前提
8 リリース判断	MVP必須44件がすべて合格	リリース可	
8 リリース判断	MVP必須に不合格がある	リリース不可	修正して再検証
8 リリース判断	リリース必須に不合格がある	影響を確認して判断	回避策を案内できるなら可
8 リリース判断	改善のみ不合格	リリース可	次回に回す
9 迷ったとき	未実装か不具合か分からない	実装状況を先に埋める	×（未実装）なら不具合ではない
9 迷ったとき	一部だけ満たしている	実装状況は △、判定は 不合格	合格ラインは「〜＝0件」の形。部分達成は合格にならない。メモに不足を書く
9 迷ったとき	1つの検証が複数条件の根拠（22件）	検証は1回、判定は条件ごと	例: OP-503 は AC-043・AC-044・AC-046 の根拠
9 迷ったとき	合格ラインが実装と食い違う	実装を直すのが原則	仕様の誤りなら定義表と仕様書の両方を直し、理由を JUDGMENT_LOG.md に残す
10 スプレッドシート	アップロード	ファイル → インポート → アップロード → 区切り文字は自動検出	.tsv をそのまま上げられる
