設計ポイント	条件ID	フロー	マイルストーン	満たすべきこと（実装の到達点）	MVP区分	崩れると起きること	仕様の該当箇所
#				モック（インポート）: https://suguru789987.github.io/rakmy-timerecord-import-spec/ ／ モック（手入力）: https://suguru789987.github.io/rakmy-owner-registration-mock/			
⓪ 導入が通しで完了する	AC-077	2	M3	①〜⑤を通しで取り込み、打刻を始められる状態になる	MVP必須	**個々の条件が合格でも、通しで完了しなければこの機能の価値が出ない。** 導入の障壁を下げるための機能であり、途中で止まれば意味がない	仕様書 1.1 何を解決しているか
⓪ 導入が通しで完了する	AC-078	2 / 4	M1	実運用の規模を分割せずに取り込める	MVP必須	**分割が必要だと1件ずつ入力するのと手間が変わらず、機能の価値が消える。** 上限が実運用の規模に足りているかの確認	仕様書 1.1 何を解決しているか／README §7.5
① データを壊さない	AC-035	2	M2	退職者と同じコードはエラー	MVP必須	**退職者が勝手に復活する。** 給与計算と打刻に退職者が混ざる	README §8.4
① データを壊さない	AC-044	2	M3	失敗した行がDBに残らない	MVP必須	**中途半端なレコードがDBに残る。** 招待も届かず、再取り込みもできない幽霊データになる	**設計の背骨②**／README §7.7
① データを壊さない	AC-053	2 / 4	M4	昇格で勤務店舗が消えない	MVP必須	**昇格した店長が打刻できなくなる。** 勤務店舗が消えると出退勤が記録できない	**設計の背骨⑤**／フローD／README §7.1
① データを壊さない	AC-060	3	M6	インポートしたデータを削除できる	MVP必須	**誤って取り込んだデータを消せない。** インポートに削除は無く、手入力が唯一の出口	仕様書「削除について」
① データを壊さない	AC-061	4	M5	スキップで既存が変わらない	MVP必須	**再取り込みで既存が勝手に書き換わる。** 「スキップ」が効かないと運用で事故る	フローE／README §8.2
① データを壊さない	AC-063	4	M5	空欄で既存の値が消えない	MVP必須	**空欄で既存の値が消える。** 顧客が意図せずデータを失い、元に戻せない	**設計の背骨③**／フローE／README §8.2
① データを壊さない	AC-055	2 / 4	M4	担当店舗のマージで重複しない	リリース必須	担当店舗が重複して増え続ける	README §7.1
① データを壊さない	AC-062	4	M5	上書き更新でテンプレートに書いた列が反映される	リリース必須	更新したはずの列が反映されず、顧客が気づかないまま古い値で運用される	フローE
② 取り返しがつく	AC-023	2	M2	プレビューのエラー行を画面で編集させない	MVP必須	**画面で直すと元CSVに残らず再発する。** プレビューが編集画面になり状態管理が跳ね上がる（J-029）	**設計の背骨①**／仕様書 4.1
② 取り返しがつく	AC-024	2	M2	エラー行をCSVで取り出せる	MVP必須	**エラー行を直す手段が無くなる。** 30人中1人の誤りで全体が止まる	フローC
② 取り返しがつく	AC-043	2	M3	失敗行をCSVで回収できる	MVP必須	**失敗した行が分からず回収できない。** どれが登録されたか顧客が追えない	フローC／README §7.7
② 取り返しがつく	AC-074	2	M5	中断したデータが正しく復元される	MVP必須	**再開しても中身が違えば、顧客は入力し直しになる。** 中断機能の意味が無くなる	フローG
② 取り返しがつく	AC-075	2	M5	中断データが新規の取り込みに混ざらない	MVP必須	**身に覚えのないデータが登録される。** 中断分が新規の取り込みに混ざる	フローG
② 取り返しがつく	AC-014	2 / 4	M1	受付拒否から復帰できる	リリース必須	拒否されたあと何をすれば進めるのか分からず止まる	フローC
② 取り返しがつく	AC-046	2	M3	失敗行CSVがそのまま再アップできる形式	リリース必須	落としたCSVをそのまま直せず、手作業で作り直しになる	フローC
② 取り返しがつく	AC-066	2	M5	作業を中断して後日再開できる	リリース必須	5種類を1日で揃えられない顧客が最初からやり直しになる	フローG
③ 同じ人を二重に作らない	AC-025	2	M2	管理者の判定が自動で行われる	MVP必須	**店長のアカウントが2つできる。** 打刻の記録が分断され、給与計算が合わなくなる	**設計の背骨④**／フローD
③ 同じ人を二重に作らない	AC-065	4	M5	管理者に重複時の処理が適用されない	MVP必須	重複時の処理を「上書き」にすると、既存管理者の権限が壊れる	README §8.7
